function,n,gradient_approach,k,optimizer,lr,loss
sphere,32,frog,16.0,"FG(k=16,agg=orthogonal_projection,normalize=False,sampler=normal)",0.41322537305988744,0.0
sphere,64,bp,,Backpropagation,0.29180236761792017,0.0
sphere,64,fg-mean,1.0,"FG(k=1,agg=mean,normalize=False,sampler=normal)",0.008527847819491676,2.9574939617305063e-05
sphere,64,fg-mean,2.0,"FG(k=2,agg=mean,normalize=False,sampler=normal)",0.017040430717383544,1.9150628999264896e-11
sphere,64,fg-mean,4.0,"FG(k=4,agg=mean,normalize=False,sampler=normal)",0.03529607532965169,1.2830785546957212e-23
sphere,64,fg-mean,16.0,"FG(k=16,agg=mean,normalize=False,sampler=normal)",0.08285014005592847,0.0
sphere,64,frog,2.0,"FG(k=2,agg=orthogonal_projection,normalize=False,sampler=normal)",0.5082631224821867,2.097604425224664e-12
sphere,64,frog,4.0,"FG(k=4,agg=orthogonal_projection,normalize=False,sampler=normal)",0.5082631224821867,1.414951610080543e-26
sphere,64,frog,16.0,"FG(k=16,agg=orthogonal_projection,normalize=False,sampler=normal)",0.5082631224821867,0.0
sphere,128,bp,,Backpropagation,0.3316314789064596,0.0
sphere,128,fg-mean,1.0,"FG(k=1,agg=mean,normalize=False,sampler=normal)",0.003788888854327916,0.03106119856238365
sphere,128,fg-mean,2.0,"FG(k=2,agg=mean,normalize=False,sampler=normal)",0.006882318155859274,2.0276773284422234e-05
sphere,128,fg-mean,4.0,"FG(k=4,agg=mean,normalize=False,sampler=normal)",0.017040430717383544,2.8004332793679643e-12
sphere,128,fg-mean,16.0,"FG(k=16,agg=mean,normalize=False,sampler=normal)",0.048413763977716615,0.0
sphere,128,frog,2.0,"FG(k=2,agg=orthogonal_projection,normalize=False,sampler=normal)",0.4796114095885047,1.7146832760772668e-05
sphere,128,frog,4.0,"FG(k=4,agg=orthogonal_projection,normalize=False,sampler=normal)",0.42299183305768256,1.126393574767126e-12
sphere,128,frog,16.0,"FG(k=16,agg=orthogonal_projection,normalize=False,sampler=normal)",0.4863679205279614,0.0
sphere,256,bp,,Backpropagation,0.2856579697784698,0.0
sphere,256,fg-mean,1.0,"FG(k=1,agg=mean,normalize=False,sampler=normal)",0.0019773612878925284,3.908517837524414
sphere,256,fg-mean,2.0,"FG(k=2,agg=mean,normalize=False,sampler=normal)",0.004202621051012061,0.08037170022726059
sphere,256,fg-mean,4.0,"FG(k=4,agg=mean,normalize=False,sampler=normal)",0.00811256459310989,3.042757998628076e-05
sphere,256,fg-mean,16.0,"FG(k=16,agg=mean,normalize=False,sampler=normal)",0.02990505625834176,1.1605921811066226e-24
sphere,256,frog,2.0,"FG(k=2,agg=orthogonal_projection,normalize=False,sampler=normal)",0.5082631224821867,0.07304457575082779
sphere,256,frog,4.0,"FG(k=4,agg=orthogonal_projection,normalize=False,sampler=normal)",0.5082631224821867,2.0160934582236223e-05
sphere,256,frog,16.0,"FG(k=16,agg=orthogonal_projection,normalize=False,sampler=normal)",0.4796114095885047,1.3182827150471345e-26
sphere,512,bp,,Backpropagation,0.3316314789064596,0.0
sphere,512,fg-mean,1.0,"FG(k=1,agg=mean,normalize=False,sampler=normal)",0.001016329304455068,76.34015655517578
sphere,512,fg-mean,2.0,"FG(k=2,agg=mean,normalize=False,sampler=normal)",0.002070895708981215,9.979198455810547
sphere,512,fg-mean,4.0,"FG(k=4,agg=mean,normalize=False,sampler=normal)",0.004202621051012061,0.2131778597831726
sphere,512,fg-mean,16.0,"FG(k=16,agg=mean,normalize=False,sampler=normal)",0.017040430717383544,3.498173625771095e-11
sphere,512,frog,2.0,"FG(k=2,agg=orthogonal_projection,normalize=False,sampler=normal)",0.5082631224821867,9.98569107055664
sphere,512,frog,4.0,"FG(k=4,agg=orthogonal_projection,normalize=False,sampler=normal)",0.5341484948675352,0.20094497501850128
sphere,512,frog,16.0,"FG(k=16,agg=orthogonal_projection,normalize=False,sampler=normal)",0.4863679205279614,1.0589233483127014e-11
sphere,1024,bp,,Backpropagation,0.3316314789064596,0.0
sphere,1024,fg-mean,1.0,"FG(k=1,agg=mean,normalize=False,sampler=normal)",0.0004976756458628378,433.2709045410156
sphere,1024,fg-mean,2.0,"FG(k=2,agg=mean,normalize=False,sampler=normal)",0.0009412628180683079,156.82940673828125
sphere,1024,fg-mean,4.0,"FG(k=4,agg=mean,normalize=False,sampler=normal)",0.0019253027431798378,22.79341697692871
sphere,1024,fg-mean,16.0,"FG(k=16,agg=mean,normalize=False,sampler=normal)",0.007496420177892418,0.00022990602883510292
sphere,1024,frog,2.0,"FG(k=2,agg=orthogonal_projection,normalize=False,sampler=normal)",0.4863679205279614,155.213134765625
sphere,1024,frog,4.0,"FG(k=4,agg=orthogonal_projection,normalize=False,sampler=normal)",0.4863679205279614,22.731632232666016
sphere,1024,frog,16.0,"FG(k=16,agg=orthogonal_projection,normalize=False,sampler=normal)",0.4863679205279614,0.00019969373533967882
