function,n,gradient_approach,k,optimizer,lr,loss
rosenbrock,64,fg-mean,2.0,"FG(k=2,agg=mean,normalize=False,sampler=normal)",0.00014214502546311224,44.49618148803711
rosenbrock,64,fg-mean,4.0,"FG(k=4,agg=mean,normalize=False,sampler=normal)",0.00020286724680441875,35.06703567504883
rosenbrock,64,fg-mean,16.0,"FG(k=16,agg=mean,normalize=False,sampler=normal)",0.0003912735570754884,8.647612571716309
rosenbrock,64,frog,2.0,"FG(k=2,agg=orthogonal_projection,normalize=False,sampler=normal)",0.004547562096575012,43.94325637817383
rosenbrock,64,frog,4.0,"FG(k=4,agg=orthogonal_projection,normalize=False,sampler=normal)",0.003118119844230578,36.53590774536133
rosenbrock,64,frog,16.0,"FG(k=16,agg=orthogonal_projection,normalize=False,sampler=normal)",0.0018423636305031673,0.5055118203163147
rosenbrock,128,bp,,Backpropagation,0.00104770053667044,0.002320535248145461
rosenbrock,128,fg-mean,1.0,"FG(k=1,agg=mean,normalize=False,sampler=normal)",6.007194239729048e-05,121.12175750732422
rosenbrock,128,fg-mean,2.0,"FG(k=2,agg=mean,normalize=False,sampler=normal)",0.00010012465492964182,117.35612487792969
rosenbrock,128,fg-mean,4.0,"FG(k=4,agg=mean,normalize=False,sampler=normal)",0.00017678044573134192,108.17618560791016
rosenbrock,128,fg-mean,16.0,"FG(k=16,agg=mean,normalize=False,sampler=normal)",0.0003822031715686941,76.32909393310547
rosenbrock,128,frog,2.0,"FG(k=2,agg=orthogonal_projection,normalize=False,sampler=normal)",0.006748084275665272,116.32495880126953
rosenbrock,128,frog,4.0,"FG(k=4,agg=orthogonal_projection,normalize=False,sampler=normal)",0.005288828900730905,110.36579895019531
rosenbrock,128,frog,16.0,"FG(k=16,agg=orthogonal_projection,normalize=False,sampler=normal)",0.0029808613469636245,77.4748306274414
rosenbrock,256,bp,,Backpropagation,0.0011030921147984773,95.7104721069336
rosenbrock,256,fg-mean,1.0,"FG(k=1,agg=mean,normalize=False,sampler=normal)",3.5768481382380376e-05,251.99600219726562
rosenbrock,256,fg-mean,2.0,"FG(k=2,agg=mean,normalize=False,sampler=normal)",6.18953941891929e-05,250.55433654785156
rosenbrock,256,fg-mean,4.0,"FG(k=4,agg=mean,normalize=False,sampler=normal)",0.00012190793641642449,242.85067749023438
rosenbrock,256,fg-mean,16.0,"FG(k=16,agg=mean,normalize=False,sampler=normal)",0.0003099288914037717,213.09945678710938
rosenbrock,256,frog,2.0,"FG(k=2,agg=orthogonal_projection,normalize=False,sampler=normal)",0.008192129280717823,250.0371856689453
rosenbrock,256,frog,4.0,"FG(k=4,agg=orthogonal_projection,normalize=False,sampler=normal)",0.008133145805131999,241.93772888183594
rosenbrock,256,frog,16.0,"FG(k=16,agg=orthogonal_projection,normalize=False,sampler=normal)",0.005433590445116436,208.7093963623047
rosenbrock,512,bp,,Backpropagation,0.001035797777005371,359.03546142578125
rosenbrock,512,fg-mean,1.0,"FG(k=1,agg=mean,normalize=False,sampler=normal)",1.8911397983630876e-05,504.69439697265625
rosenbrock,512,fg-mean,2.0,"FG(k=2,agg=mean,normalize=False,sampler=normal)",3.685331492956591e-05,502.4490661621094
rosenbrock,512,fg-mean,4.0,"FG(k=4,agg=mean,normalize=False,sampler=normal)",7.161603084202827e-05,498.1349792480469
rosenbrock,512,fg-mean,16.0,"FG(k=16,agg=mean,normalize=False,sampler=normal)",0.00022931292831079343,475.5520324707031
rosenbrock,512,frog,2.0,"FG(k=2,agg=orthogonal_projection,normalize=False,sampler=normal)",0.009131502644626503,502.79644775390625
rosenbrock,512,frog,4.0,"FG(k=4,agg=orthogonal_projection,normalize=False,sampler=normal)",0.009295063826882728,497.94818115234375
